athlete_id,name,sport,era,grand_slams,masters_titles,career_wins,career_matches,weeks_at_no1,yearend_no1_count,years_in_top5,finals_won,finals_played,h2h_top10_wins,h2h_top10_total,hard_win_pct,clay_win_pct,grass_win_pct,clay_win_rate_std,grass_win_rate_std,career_win_rate,finals_win_rate,h2h_top10,surface_versatility,grand_slam_normalized,weeks_no1_normalized,masters_titles_normalized,career_win_rate_normalized,yearend_no1_normalized,finals_win_rate_normalized,h2h_top10_normalized,surface_versatility_normalized,longevity_normalized,composite_score
atp_101686,Franco Davin,tennis,Modern Era,0.0,0,154,310,0.0,0,0,3,9,4,17,0.2222,0.5084,0.0,0.1857,0.0,0.4967741935483871,0.3333333333333333,0.23529411764705882,33.82876081395001,0.0,0.0,0.0,38.29640425053362,0.0,33.33333333333333,33.17647058823529,34.14796817943918,0.0,9.87
atp_101703,Guillaume Raoux,tennis,Modern Era,0.0,0,179,404,0.0,0,0,1,5,6,33,0.4615,0.2885,0.4375,0.1913,0.2218,0.4430693069306931,0.2,0.18181818181818182,75.66652716259432,0.0,0.0,0.0,28.41582905139175,0.0,20.0,25.636363636363633,76.38051467529465,0.0,10.11
atp_101711,Alex Obrien,tennis,Modern Era,0.0,0,94,230,0.0,0,0,1,1,2,18,0.4286,0.3226,0.4194,0.2545,0.2425,0.40869565217391307,1.0,0.1111111111111111,84.75373207738566,0.0,0.0,0.0,22.091795949684993,0.0,100.0,15.666666666666664,85.55346623497387,0.0,15.13
atp_101717,Diego Nargiso,tennis,Modern Era,0.0,0,100,255,0.0,0,0,0,2,1,19,0.4125,0.3265,0.4231,0.1856,0.2609,0.39215686274509803,0.0,0.05263157894736842,86.24552309674199,0.0,0.0,0.0,19.04900481938326,0.0,0.0,7.421052631578946,87.05933375815982,0.0,7.5
atp_101723,Magnus Larsson,tennis,Modern Era,0.0,0,313,542,0.0,0,0,7,16,31,81,0.5583,0.5699,0.5581,0.251,0.2477,0.577490774907749,0.4375,0.38271604938271603,98.24602859233788,0.0,0.0,0.0,53.14656598006364,0.0,43.75,53.962962962962955,99.17307573217285,0.0,17.03
atp_101727,Jason Stoltenberg,tennis,Modern Era,0.0,0,305,572,0.0,0,0,4,13,18,61,0.5194,0.5784,0.6146,0.2883,0.122,0.5332167832167832,0.3076923076923077,0.29508196721311475,87.52417766633688,0.0,0.0,0.0,45.00107807720596,0.0,30.76923076923077,41.60655737704918,88.35005368122053,0.0,14.04
atp_101733,Jan Siemerink,tennis,Modern Era,0.0,0,275,547,0.0,0,0,4,12,23,72,0.5137,0.3793,0.4667,0.1905,0.1679,0.5027422303473492,0.3333333333333333,0.3194444444444444,82.29227787223326,0.0,0.0,0.0,39.39439812217441,0.0,33.33333333333333,45.041666666666664,83.06878580771951,0.0,13.51
atp_101735,Richard Fromberg,tennis,Modern Era,0.0,0,258,546,0.0,0,0,4,11,7,44,0.4769,0.5058,0.4474,0.173,0.2391,0.4725274725274725,0.36363636363636365,0.1590909090909091,92.41876108548743,0.0,0.0,0.0,33.8355150192578,0.0,36.36363636363637,22.43181818181818,93.29082227064637,0.0,12.65
atp_101736,Andre Agassi,tennis,Modern Era,12.444444444444443,17,872,1147,79.16666666666666,1,15,60,90,110,201,0.7889,0.7273,0.7353,0.2049,0.333,0.7602441150828247,0.6666666666666666,0.5472636815920398,91.30377762801167,48.48484848484848,20.99911582670203,42.5,86.7693559013679,12.5,66.66666666666666,77.1641791044776,92.16531785634389,75.0,50.04
atp_101746,Renzo Furlan,tennis,Modern Era,0.0,0,224,466,0.0,0,0,2,7,7,34,0.4472,0.4981,0.3333,0.1647,0.2739,0.48068669527896996,0.2857142857142857,0.20588235294117646,78.09187339972152,0.0,0.0,0.0,35.33664124891748,0.0,28.57142857142857,29.02941176470588,78.82874642061442,0.0,11.71
